cond,a_tot,i_tot,c_tot,mfqA1,mfqA2,mfqA3,mfqA4,mfqA5,mfqA6,mfqA7,mfqA8,mfqA9,mfqA10,mfqA11,mfqA12,mfqA13,mfqA14,mfqA15,mfqA16,mfqA17,mfqA18,mfqA19,mfqA20,mfqA21,mfqA22,mfqA23,mfqA24,mfqA25,mfqA26,mfqA27,mfqA28,mfqA29,mfqA30,mfqA31,mfqB1,mfqB2,mfqB3,mfqB4,mfqB5,mfqB6,mfqB7,mfqB8,mfqB9,mfqB10,mfqB11,mfqB12,mfqB13,mfqB14,mfqB15,mfqB16,mfqB17,mfqB18,mfqB19,mfqB20,mfqB21,mfqB22,mfqB23,mfqB24,mfqB25,mfqB26,mfqB27,mfqB28,mfqB29,mfqB30,mfqB31,mfqB32,mfqB33,mfqB34,mfqB35,mfqB36,mfqB37,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rf8,rf9,rf10,rf11,rf12,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,ie1,ie2,ie3,ie4,ie5,ie6,ie7,ie8,ie9,ie10,ie11,ie12,ie13,ie14,ie15,ie16,ie17,ie18,ie19,ie20,sex,age,race,race_text,ses,income,edu,big,relaff,relaff_text,if_rel,pray,relserv,relint,for_policy,eco_policy,soc_policy,rel_policy,polaff,purpose,purpose_check,Study for how life is associated to God,study_check,task_related,tr_explain,task_affect,ta_explain,sut_susp,ss_explain,sut_theme,st_explain,goal,goal_explain,random,random,LocationLatitude,LocationLongitude,India,other,us,sf
0,,,1,1,1,1,4,5,5,5,5,4,5,1,3,5,5,5,6,5,2,5,4,6,5,5,5,5,3,1,6,1,6,4,5,4,5,5,5,5,3,5,5,1,6,3,3,2,4,1,6,6,6,5,5,5,2,4,2,4,6,5,6,3,2,5,1,4,4,4,6,7,5,5,6,6,7,4,7,9,7,6,7,6,6,5,5,6,5,3,4,4,4,5,5,5,4,6,4,5,4,4,4,6,6,6,6,4,2,3,3,5,4,3,7,1,27,1,,4,4,2,1,7,,2,2,1,4,4,4,4,4,4,people belifes,0,how people want people to act,0,2,,2,,2,,2,,2,,105,105,38.16279602,-85.51999664,0,,1,0
0,,,1,4,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,6,5,5,5,6,5,5,5,5,5,4,4,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,6,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,9,5,7,5,8,8,8,9,7,8,8,7,6,6,6,7,6,6,6,6,6,6,1,7,5,5,3,3,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,2,24,2,,3,1,4,1,2,,5,6,5,9,3,3,3,3,4,"Understanding religious beliefs, values and attitudes of people",0,"Understanding religious beliefs, values and attitudes of people",0,1,"Understanding religious beliefs, values and attitudes of people",2,,2,,2,,2,,106,106,26.18330383,91.73330688,1,,0,0
0,,,1,1,1,3,3,5,5,6,2,5,2,2,3,6,6,6,2,1,2,5,5,4,6,1,2,3,2,3,3,1,6,6,5,5,6,6,5,6,5,4,6,2,4,3,4,2,5,2,6,3,5,1,3,3,5,4,4,2,5,5,5,6,3,6,6,4,4,5,6,1,9,1,9,7,1,9,1,9,9,1,9,4,6,9,6,5,9,1,9,9,4,6,9,1,1,9,1,1,5,1,1,1,1,1,5,1,1,6,5,6,5,1,1,1,43,5,,5,3,3,2,8,,,1,1,5,3,3,1,4,6,I have no idea.,0,Again I don't know what this study is aiming to find out.,0,2,,2,,2,,2,,2,,107,107,33.89439392,-78.75029755,0,,1,0
2,,1,,5,3,4,5,2,3,3,5,3,2,3,3,5,3,5,3,2,5,4,3,5,5,4,2,4,5,4,3,2,4,5,5,2,2,3,4,3,3,5,5,3,5,3,5,5,3,2,4,5,3,3,5,5,5,3,2,5,4,5,4,3,5,3,5,3,3,4,5,8,6,5,3,8,7,4,5,9,7,5,7,8,9,6,4,3,2,3,6,7,5,3,6,8,4,4,2,4,5,7,8,7,3,3,4,5,6,8,3,3,4,6,8,2,25,2,,3,5,4,1,2,,4,5,5,8,3,4,6,5,2,my attitudes andwelness of survey.,0,its nice,1,2,,2,,2,,2,,2,,116,116,13.08329773,80.28329468,1,,0,0
1,1,,,4,4,5,4,5,5,5,4,5,6,6,4,4,6,5,5,4,5,6,6,5,6,6,6,6,6,6,6,6,6,6,4,5,5,6,6,6,4,6,6,1,6,2,2,2,5,4,6,6,6,2,6,5,5,5,5,5,6,6,5,5,6,6,1,6,5,6,5,9,1,4,9,8,4,8,7,9,4,6,2,9,8,8,2,2,1,2,8,8,8,1,6,9,8,6,9,9,9,9,9,4,6,3,6,9,9,4,6,6,9,9,9,2,46,2,,3,3,4,1,4,,4,6,4,9,4,3,3,2,4,This experiment is about what are values of a person? How much religion is affecting in ones life? ,0,This experiment is about ethics and values of a person in life.,0,1,Ethics and values in someones life is depending upon how he or she is brought up? How religious believes make them? First all questions are about ethics and values. In last section questions are about faith. I think when people are religious they become very ethical.  I trust god exists. And faith on god helps people to do good.,2,,2,,1,In sentences they are about god and faith.,1,I wanted to answer very sincerely and I did that,118,118,20,77,1,,0,0
0,,,1,1,5,4,4,6,6,6,5,5,3,2,3,5,5,5,4,2,4,6,6,4,6,3,2,5,2,2,4,5,6,6,3,3,3,5,5,5,4,4,5,2,4,2,4,3,3,2,5,4,5,3,5,2,2,5,5,4,4,5,3,3,5,4,5,6,2,6,4,7,4,3,4,8,4,8,6,3,5,5,3,4,5,5,3,3,5,4,5,4,5,2,6,2,7,3,7,5,4,8,7,2,8,2,2,7,7,5,4,2,8,5,5,2,50,5,,4,3,3,1,6,,4,6,4,7,4,4,3,4,4,to see how life philosphy intersects with religous beliefs,0,"effect, of religion on person's life",0,1,thoughts of right and wrong are often linked to religious beliefs,2,,2,,2,,2,,119,119,35.1289978,-85.38410187,0,,1,0
0,,,1,4,2,2,2,6,6,5,3,2,2,3,2,6,5,4,3,1,3,5,4,4,6,1,2,5,6,3,4,2,6,6,6,6,5,5,5,6,6,6,4,3,4,1,4,3,2,3,6,1,4,5,3,1,4,6,6,1,6,4,5,3,4,6,1,6,6,5,6,7,3,4,6,6,7,4,6,3,5,6,3,7,6,7,8,6,7,4,8,2,6,7,8,4,7,5,6,6,7,8,8,4,9,5,4,6,6,4,1,6,7,7,7,1,35,5,,4,3,4,1,2,,3,3,4,6,4,4,4,4,4,This experiement concered the nature of religion in life.,0,This experiment was trying to study the correlation between life experiences and the status of religion.,0,1,"It was a Values and Attitudes Survey to draw a connection between the secular group, religious group and self.",2,,2,,2,,2,,122,122,30.41540527,-97.79820251,0,,1,0
2,,1,,1,1,3,2,4,5,4,4,3,2,2,2,4,3,3,2,1,3,3,2,4,4,4,4,3,1,1,5,1,5,4,3,3,2,4,2,4,2,4,4,4,4,3,4,4,2,1,4,2,2,2,2,1,5,5,5,1,6,6,5,2,3,6,4,6,5,4,3,1,9,1,9,1,1,9,1,9,9,1,9,1,1,1,1,1,9,1,5,6,1,1,1,9,1,9,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,31,3,,3,3,4,2,9,,1,1,1,1,4,4,4,4,4,to see how religious people are,0,our level of religiousness ,0,2,,2,,2,,2,,2,,124,124,20.6499939,-103.3167038,0,,1,0
0,,,1,2,6,2,2,5,4,5,3,4,5,3,5,5,5,5,3,3,4,4,4,4,2,2,3,4,4,4,4,3,5,2,2,3,3,3,4,4,4,4,4,3,4,4,5,1,4,2,6,4,4,3,3,4,3,3,2,4,3,2,4,3,4,4,3,4,2,4,4,9,1,9,1,9,7,1,9,1,1,9,1,1,1,1,1,1,9,9,6,1,1,1,3,1,9,1,6,7,9,9,6,1,7,1,1,9,9,4,8,1,6,9,9,1,30,5,,4,3,4,1,2,,4,6,2,9,5,6,4,7,4,Religious study.,0,Study how religion affects judgment.,0,2,,2,,2,,2,,2,,133,133,41.74240112,-72.69049835,0,,1,0
1,1,,,2,5,4,5,2,5,4,4,5,5,5,5,6,5,4,5,2,6,5,5,6,5,5,5,2,6,5,5,2,6,6,5,5,5,5,5,5,5,6,5,5,5,5,6,5,1,4,4,5,5,2,4,4,5,5,1,5,6,5,5,4,5,3,4,5,4,5,5,7,7,2,9,8,8,7,7,1,9,8,2,7,8,8,2,2,2,2,3,7,6,2,1,7,8,8,8,8,8,8,9,6,7,6,7,1,5,6,7,7,6,7,7,1,43,2,,2,5,5,1,4,,2,4,3,7,4,3,2,2,7,trust in religion,0,keep faith in your religious believes,0,2,,2,,2,,1,some thing odd,2,,134,134,20.23330688,85.83331299,1,,0,0
